AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TFAREA,NNURSERY,NURSERY,ENURSERY,NSOD,SOD,ESOD,NTUNGLAS,TUNGLAS,FTUNGLAS,NTOTGRN,TOTGRN,FTOTGRN,NFLOWER,FLOWER,FFLOWER,NGRNVEG,GRNVEG,FGRNVEG,NGRNOTHR,GRNOTHR,FGRNOTHR,NMUSHRM,MUSHRM,FMUSHRM
Geography,Standard Geographical Classification,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic Identification,Total number of farms,Total area of nursery products - Farms Reporting,Total area of nursery products - Acres,Total area of nursery products - Hectares,Total area of sod grown for sale - Farms Reporting,Total area of sod grown for sale - Acres,Total area of sod grown for sale - Hectares,Total greenhouse area under glass - Farms Reporting,Total greenhouse area under glass - Sq feet,Total greenhouse area under glass - Sq metres,"Total area of greenhouse in use on May 14, 1996- Farms Reporting","Total area of greenhouse in use on May 14, 1996- Sq feet","Total area of greenhouse in use on May 14, 1996- Sq metres",Greenhouse flowers - Farms Reporting,Greenhouse flowers - Sq feet,Greenhouse flowers - Sq metres,Greenhouse vegetables - Farms Reporting,Greenhouse vegetables - Sq feet,Greenhouse vegetables - Sq metres,Other greenhouse products - Farms Reporting,Other greenhouse products - Sq feet,Other greenhouse products - Sq metres,Total growing area for mushrooms - Farms Reporting,Total growing area for mushrooms - Sq feet,Total growing area for mushrooms - Sq metres
120106001,1206001,12,1,6,1,Lunenburg,315,10,20,8,1,x,x,14,"91,730","8,522",14,"91,730","8,522",12,"82,510","7,665",4,x,x,5,x,x,0,0,0
120106009,1206009,12,1,6,9,Chester,135,4,4,2,1,x,x,4,"14,750","1,370",4,"14,750","1,370",3,"8,750",813,1,x,x,2,x,x,0,0,0
120200000,1200000,12,2,0,0,Agricultural Region 2 - RÇgion agricole 2,"1,371",46,285,115,11,"1,560",631,107,"1,234,243","114,665",107,"1,214,434","112,825",72,"758,103","70,430",61,"396,977","36,880",23,"59,354","5,514",1,x,x
120205000,1205000,12,2,5,0,Annapolis County,271,10,12,5,2,x,x,19,"224,894","20,893",19,"220,454","20,481",15,"114,560","10,643",11,x,x,2,x,x,0,0,0
120205001,1205001,12,2,5,1,"Annapolis, Subd. D",33,0,0,0,0,0,0,2,x,x,2,x,x,2,x,x,1,x,x,0,0,0,0,0,0
120205004,1205004,12,2,5,4,"Annapolis, Subd. A",75,6,8,3,0,0,0,7,"26,918","2,501",7,"25,718","2,389",5,x,x,4,x,x,2,x,x,0,0,0
120205009,1205009,12,2,5,9,"Annapolis, Subd. B",89,3,x,x,2,x,x,6,"180,490","16,768",6,x,x,4,x,x,4,x,x,0,0,0,0,0,0
120205014,1205014,12,2,5,14,"Annapolis, Subd. C",74,1,x,x,0,0,0,4,x,x,4,"12,586","1,169",4,x,x,2,x,x,0,0,0,0,0,0
120207000,1207000,12,2,7,0,Kings County,707,25,182,74,6,x,x,49,"447,973","41,618",49,"437,926","40,685",30,"245,624","22,819",27,"139,301","12,941",15,"53,001","4,924",1,x,x
120207001,1207001,12,2,7,1,"Kings, Subd. A",347,11,151,61,1,x,x,27,"277,884","25,816",27,"275,034","25,551",18,"192,898","17,921",16,"74,242","6,897",6,"7,894",733,1,x,x
120207011,1207011,12,2,7,11,"Kings, Subd. C",50,4,x,x,0,0,0,2,x,x,2,x,x,2,x,x,0,0,0,1,x,x,0,0,0
120207016,1207016,12,2,7,16,"Kings, Subd. B",205,8,22,9,4,249,101,15,"95,204","8,845",15,"88,008","8,176",7,"45,020","4,182",7,"18,659","1,733",6,"24,329","2,260",0,0,0
120207021,1207021,12,2,7,21,"Kings, Subd. D",105,2,x,x,1,x,x,5,x,x,5,x,x,3,x,x,4,"46,400","4,311",2,x,x,0,0,0
