AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TOTAL,FCAPDST_1,FCAPDST_2,FCAPDST_3,FCAPDST_4,FCAPDST_5,FCAPDST_6,FCAPDST_7,FCAPDST_8
Geography,Standard Geographical Classification,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic Identification,Total number of farms,"Total farm capital (under $50,000) - Farms Reporting","Total farm capital ($50,000-$99,999) - Farms Reporting","Total farm capital ($100,000-$199,999) - Farms Reporting","Total farm capital ($200,000-$349,999) - Farms Reporting","Total farm capital ($350,000-$499,999) - Farms Reporting","Total farm capital ($500,000-$999,999) - Farms Reporting","Total farm capital ($1,000,000-$1,499,999) - Farms Reporting","Total farm capital ($1,500,000 and over) - Farms Reporting"
240449125,2449125,24,4,49,125,Saint-Bonaventure,55,1,6,6,11,11,14,4,2
240449130,2449130,24,4,49,130,Saint-Pie-de-Guire,32,1,3,5,7,3,8,4,1
240450000,2450000,24,4,50,0,Nicolet-Yamaska,694,23,39,88,128,114,204,58,40
240450005,2450005,24,4,50,5,Sainte-Eulalie,29,1,2,6,9,4,4,1,2
240450015,2450015,24,4,50,15,Saint-Raphaâl-Partie-Sud,23,1,2,2,7,4,5,2,0
240450023,2450023,24,4,50,23,Saint-Wenceslas,61,4,6,9,17,8,9,6,2
240450035,2450035,24,4,50,35,Saint-CÇlestin,47,0,1,7,7,12,17,3,0
240450042,2450042,24,4,50,42,Saint-LÇonard-d'Aston,43,0,4,11,10,6,8,0,4
240450050,2450050,24,4,50,50,Sainte-PerpÇtue,56,0,1,2,10,10,24,7,2
240450060,2450060,24,4,50,60,Sainte-Monique,43,0,2,4,5,5,17,7,3
240450065,2450065,24,4,50,65,Grand-Saint-Esprit,23,1,0,2,3,4,5,5,3
240450075,2450075,24,4,50,75,Saint-Jean-Baptiste-de-Nicolet,39,1,1,5,5,7,11,4,5
240450080,2450080,24,4,50,80,Nicolet-Sud,28,2,1,1,4,5,7,4,4
240450085,2450085,24,4,50,85,La Visitation-de-Yamaska,38,1,1,6,4,4,17,3,2
240450090,2450090,24,4,50,90,Saint-ZÇphirin-de-Courval,60,2,0,4,10,15,21,6,2
240450095,2450095,24,4,50,95,Saint-Elphäge,30,0,1,1,4,5,13,3,3
240450100,2450100,24,4,50,100,Baie-du-Febvre,63,1,1,5,8,11,28,4,5
240450130,2450130,24,4,50,130,Saint-Franáois-du-Lac,111,9,16,23,25,14,18,3,3
240451000,2451000,24,4,51,0,MaskinongÇ,526,14,38,88,139,77,124,35,11
240451010,2451010,24,4,51,10,Saint-Joseph-de-MaskinongÇ,51,2,6,8,14,7,11,1,2
240451015,2451015,24,4,51,15,Louiseville,61,2,3,8,17,12,14,3,2
240451020,2451020,24,4,51,20,Yamachiche,82,2,5,8,21,11,28,6,1
240451025,2451025,24,4,51,25,Saint-BarnabÇ,43,0,2,8,12,7,10,3,1
240451030,2451030,24,4,51,30,Saint-SÇväre,36,0,2,4,11,10,5,4,0
240451035,2451035,24,4,51,35,Saint-LÇon-le-Grand,73,1,4,11,15,13,20,6,3
240451040,2451040,24,4,51,40,Sainte-Ursule,52,0,2,9,13,9,15,4,0
240451045,2451045,24,4,51,45,Saint-Justin,43,2,3,6,14,3,9,5,1
240451055,2451055,24,4,51,55,Sainte-Angäle-de-PrÇmont,27,2,3,11,6,1,4,0,0
240451060,2451060,24,4,51,60,Saint-Paulin,58,3,8,15,16,4,8,3,1
240490000,2490000,24,4,90,0,Le Haut-Saint-Maurice,21,2,3,3,9,1,3,0,0
240490020,2490020,24,4,90,20,Langelier,21,2,3,3,9,1,3,0,0
240500000,2400000,24,5,0,0,Estrie,"3,143",152,318,709,806,461,541,110,46
240530000,2430000,24,5,30,0,Le Granit,594,48,104,144,137,85,64,7,5
240530005,2430005,24,5,30,5,Saint-Augustin-de-Woburn,24,0,2,7,7,3,5,0,0
240530020,2430020,24,5,30,20,Piopolis,36,6,7,10,7,3,2,1,0
240530025,2430025,24,5,30,25,Frontenac,28,4,3,10,5,4,1,0,1
240530045,2430045,24,5,30,45,Nantes,35,1,9,11,11,2,1,0,0
240530050,2430050,24,5,30,50,Sainte-CÇcile-de-Whitton,29,3,6,5,6,4,4,1,0
240530055,2430055,24,5,30,55,Audet,45,3,11,12,9,5,4,0,1
240530070,2430070,24,5,30,70,Saint-Robert-Bellarmin,58,5,7,12,13,13,5,0,3
240530075,2430075,24,5,30,75,Gayhurst-Partie-Sud-Est,23,2,1,3,6,6,4,1,0
240530080,2430080,24,5,30,80,Lac-Drolet,46,5,11,10,7,6,7,0,0
240530085,2430085,24,5,30,85,Saint-SÇbastien,54,3,8,14,17,10,2,0,0
240530090,2430090,24,5,30,90,Courcelles,41,4,10,7,11,5,3,1,0
240530095,2430095,24,5,30,95,Lambton,71,5,10,17,22,6,11,0,0
240530100,2430100,24,5,30,100,Saint-Romain,32,4,6,6,5,6,5,0,0
240530105,2430105,24,5,30,105,Stornoway,41,2,8,15,5,5,5,1,0
240530110,2430110,24,5,30,110,Stratford,31,1,5,5,6,7,5,2,0
240540000,2440000,24,5,40,0,Asbestos,298,18,29,59,85,40,55,9,3
240540005,2440005,24,5,40,5,Saint-Joseph-de-Ham-Sud,21,1,1,8,8,2,1,0,0
240540010,2440010,24,5,40,10,Saint-Adrien,29,4,6,3,9,3,3,1,0
240540017,2440017,24,5,40,17,Wotton,78,2,7,14,20,10,22,1,2
240540025,2440025,24,5,40,25,Saint-Camille,38,2,5,6,9,7,8,1,0
240540032,2440032,24,5,40,32,Saint-Georges-de-Windsor,55,3,6,9,17,6,11,3,0
240540050,2440050,24,5,40,50,Shipton,77,6,4,19,22,12,10,3,1
240541000,2441000,24,5,41,0,Le Haut-Saint-Franáois,624,25,71,145,171,84,107,13,8
240541005,2441005,24,5,41,5,Saint-Malo,25,1,2,3,4,5,10,0,0
240541010,2441010,24,5,41,10,Clifton-Partie-Est,35,0,2,7,6,8,8,3,1
240541015,2441015,24,5,41,15,Saint-Isidore-d'Auckland,37,1,7,6,12,7,3,1,0
240541030,2441030,24,5,41,30,Ditton,42,3,4,6,13,8,7,1,0
240541035,2441035,24,5,41,35,Newport,45,2,5,9,12,6,7,1,3
240541050,2441050,24,5,41,50,Eaton,173,9,8,43,41,24,37,7,4
240541055,2441055,24,5,41,55,Ascot Corner,31,1,3,8,11,3,5,0,0
240541065,2441065,24,5,41,65,Westbury,34,0,6,8,10,4,6,0,0
240541070,2441070,24,5,41,70,Bury,54,2,9,12,16,6,9,0,0
240541085,2441085,24,5,41,85,Lingwick,42,4,8,12,12,4,2,0,0
240541105,2441105,24,5,41,105,Weedon,53,1,10,12,14,5,11,0,0
240541117,2441117,24,5,41,117,Dudswell,53,1,7,19,20,4,2,0,0
240542000,2442000,24,5,42,0,Le Val-Saint-Franáois,576,22,37,173,161,86,78,14,5
240542005,2442005,24,5,42,5,Stoke,45,1,3,18,9,4,6,2,2
240542015,2442015,24,5,42,15,Brompton,58,0,1,16,21,9,11,0,0
240542020,2442020,24,5,42,20,Saint-Franáois-Xavier-de-Brompton,51,4,5,13,17,4,6,2,0
240542032,2442032,24,5,42,32,Racine,39,3,6,8,10,6,6,0,0
240542040,2442040,24,5,42,40,Bonsecours,30,4,3,10,5,4,4,0,0
240542050,2442050,24,5,42,50,Sainte-Anne-de-la-Rochelle,52,1,5,11,13,12,8,1,1
